Front	Back	Tags
<b>La función de la dineína en la estructura ciliar es:</b><br><br>A. La regulación del crecimiento del cilio.<br>B. El mantenimiento de la estructura ciliar.<br>C. Asociar la estructura ciliar y el cuerpo basal.<br>D. Participar del movimiento ciliar.<br>	"<b style=""color:green;'>✅ D. Participar del movimiento ciliar.</b><br><br><i>Apareci&oacute; 2 veces en: 2023, 2024</i>"	Fermepin2023 Fermepin2024 SoloRepetidas Repetida
<b>En relación a los monómeros de las proteínas se afirma que:</b><br><br>A. Al unirse forman la estructura 1ria. de la proteína.<br>B. Se encuentran unidos por enlaces fosfodiéster.<br>C. Su combinación se realiza entre el extremo NH2 de uno de ellos y la cadena lateral del siguiente.<br>D. Su molécula posee dos extremos amino terminales (NH2).<br>	"<b style=""color:green;'>✅ A. Al unirse forman la estructura 1ria. de la proteína.</b><br><br><i>Apareci&oacute; 2 veces en: 2023, 2024</i>"	Fermepin2023 Fermepin2024 SoloRepetidas Repetida
<b>Las chaperonas cumplen la función de:</b><br><br>A. Sintetizar ADN.<br>B. Transportar sustancias a través de la membrana.<br>C. Asistir en el plegamiento de las proteínas.<br>D. Proteger el ADN.<br>	"<b style=""color:green;'>✅ C. Asistir en el plegamiento de las proteínas.</b><br><br><i>Apareci&oacute; 2 veces en: 2023, 2024</i>"	Fermepin2023 Fermepin2024 SoloRepetidas Repetida
<b>La ubicación del cromosoma en la célula procarionte es:</b><br><br>A. El nucleoide.<br>B. Íntegramente el núcleo.<br>C. La mitocondria.<br>D. El retículo endoplasmático rugoso.<br>	"<b style=""color:green;'>✅ A. El nucleoide.</b><br><br><i>Apareci&oacute; 2 veces en: 2023, 2024</i>"	Fermepin2023 Fermepin2024 SoloRepetidas Repetida
<b>Las macromoléculas en el citosol de una célula eucariota animal forman estructuras visibles en el microscopio, como:</b><br><br>A. Gránulos de almidón.<br>B. Depósitos de calcio.<br>C. Complejos de proteasas.<br>D. Gotas de grasa.<br>	"<b style=""color:green;'>✅ D. Gotas de grasa.</b><br><br><i>Apareci&oacute; 2 veces en: 2023, 2024</i>"	Fermepin2023 Fermepin2024 SoloRepetidas Repetida
<b>Durante su recorrido, una proteína de exportación atraviesa:</b><br><br>A. El REL, los ribosomas, y finalmente, el Complejo de Golgi.<br>B. El REL, el RER y, por último, el Complejo de Golgi.<br>C. Los ribosomas, el Complejo de Golgi y, por último, el RER.<br>D. Los ribosomas, el RER y, finalmente, el Complejo de Golgi.<br>	"<b style=""color:green;'>✅ D. Los ribosomas, el RER y, finalmente, el Complejo de Golgi.</b><br><br><i>Apareci&oacute; 2 veces en: 2023, 2024</i>"	Fermepin2023 Fermepin2024 SoloRepetidas Repetida
<b>Con relación a la endocitosis, se afirma que:</b><br><br>A. Cuando es mediada por receptores, los mismos se encuentran en la cara externa de la membrana plasmática.<br>B. Se llama fagocitosis cuando ingresan solutos disueltos.<br>C. Puede ser constitutiva o regulada.<br>D. Es la expulsión de una vesícula al espacio extracelular.<br>	"<b style=""color:green;'>✅ A. Cuando es mediada por receptores, los mismos se encuentran en la cara externa de la membrana plasmática.</b><br><br><i>Apareci&oacute; 2 veces en: 2023, 2024</i>"	Fermepin2023 Fermepin2024 SoloRepetidas Repetida
<b>La membrana plasmática de las células vegetales:</b><br><br>A. Está compuesta principalmente por hidratos de carbono.<br>B. Posee proteínas integrales.<br>C. Contiene colesterol.<br>D. Es una monocapa fosfolipídica.<br>	"<b style=""color:green;'>✅ B. Posee proteínas integrales.</b><br><br><i>Apareci&oacute; 2 veces en: 2023, 2024</i>"	Fermepin2023 Fermepin2024 SoloRepetidas Repetida
<b>Para visualizar la estructura interna de una célula de un tejido en un microscopio, la técnica más adecuada es la:</b><br><br>A. Utilización de un microscopio de fuerza atómica (AFM).<br>B. Observación en un microscopio de luz de campo oscuro.<br>C. Tinción con colorantes vitales.<br>D. Preparación de cortes histológicos teñidos.<br>	"<b style=""color:green;'>✅ D. Preparación de cortes histológicos teñidos.</b><br><br><i>Apareci&oacute; 2 veces en: 2023, 2024</i>"	Fermepin2023 Fermepin2024 SoloRepetidas Repetida
<b>Si una célula carece de ATP, en primer lugar se verá afectado:</b><br><br>A. El transporte a través de la bomba de sodio-potasio.<br>B. El ingreso de $\text{CO}_{2}$ a la célula.<br>C. El funcionamiento de los canales iónicos de potasio.<br>D. El transporte de esteroides a través de la membrana.<br>	"<b style=""color:green;'>✅ A. El transporte a través de la bomba de sodio-potasio.</b><br><br><i>Apareci&oacute; 2 veces en: 2023, 2024</i>"	Fermepin2023 Fermepin2024 SoloRepetidas Repetida
<b>La cara interna de la membrana plasmática:</b><br><br>A. Es idéntica a la cara externa en su composición.<br>B. Posee fosfatidilserina y fosfatidiletanolamina.<br>C. Está formada por fosfatidilcolina y esfingomielina.<br>D. Presenta colesterol, el cual no se halla presente en la cara externa.<br>	"<b style=""color:green;'>✅ B. Posee fosfatidilserina y fosfatidiletanolamina.</b><br><br><i>Apareci&oacute; 2 veces en: 2024</i>"	Fermepin2024 SoloRepetidas Repetida
<b>Respecto a la estructura de la molécula de agua, podemos afirmar que:</b><br><br>A. Forma un tripolo.<br>B. Tiene carácter polar.<br>C. Se une a otras moléculas mediante puentes salinos.<br>D. Debido a sus uniones covalentes, no puede disociarse.<br>	"<b style=""color:green;'>✅ B. Tiene carácter polar.</b><br><br><i>Apareci&oacute; 2 veces en: 2024</i>"	Fermepin2024 SoloRepetidas Repetida
<b>Con respecto al colesterol, es correcto decir que se trata de:</b><br><br>A. Un lípido insaponificable.<br>B. Una molécula que presenta una cabeza y una cola apolares.<br>C. Una molécula que aumenta la fluidez de las membranas.<br>D. Un componente de la cara externa de la membrana plasmática de células vegetales.<br>	"<b style=""color:green;'>✅ A. Un lípido insaponificable.</b><br><br><i>Apareci&oacute; 2 veces en: 2024</i>"	Fermepin2024 SoloRepetidas Repetida
<b>Los enlaces glicosídicos se dan entre:</b><br><br>A. Dos moléculas, una glucosa y una proteína.<br>B. Dos monosacáridos.<br>C. Dos lípidos y un azúcar.<br>D. Dos lípidos.<br>	"<b style=""color:green;'>✅ B. Dos monosacáridos.</b><br><br><i>Apareci&oacute; 2 veces en: 2024</i>"	Fermepin2024 SoloRepetidas Repetida
<b>Con respecto al ARN, puede afirmarse que:</b><br><br>A. Está formado por los mismos nucleótidos que el ADN.<br>B. Posee nucleótidos unidos por enlace de tipo fosfodiéster.<br>C. Presenta un extremo 3’ con un fosfato y un extremo 5’ con un OH.<br>D. Al igual que el ADN, es bicatenario.<br>	"<b style=""color:green;'>✅ B. Posee nucleótidos unidos por enlace de tipo fosfodiéster.</b><br><br><i>Apareci&oacute; 2 veces en: 2024, 2025</i>"	Fermepin2024 Fermepin2025 SoloRepetidas Repetida
<b>Las uniones peptídicas se producen entre el grupo:</b><br><br>A. COOH de un aminoácido y el COOH del aminoácido siguiente.<br>B. COOH de un aminoácido y el $NH_{2}$ del aminoácido siguiente.<br>C. COOH de un aminoácido y el residuo lateral del siguiente.<br>D. $$NH_{2}$ de un aminoácido y el $PO_{4}^{3-}$ del aminoácido siguiente.<br>	"<b style=""color:green;'>✅ B. COOH de un aminoácido y el $NH_{2}$ del aminoácido siguiente.</b><br><br><i>Apareci&oacute; 2 veces en: 2024</i>"	Fermepin2024 SoloRepetidas Repetida
<b>Las células eucariotas se caracterizan por:</b><br><br>A. Contener un núcleo definido rodeado de una membrana nuclear.<br>B. Carecer de un sistema de endomembranas.<br>C. Presentar su material genético disperso en el citoplasma.<br>D. Tener una pared celular constituida principalmente por celulosa.<br>	"<b style=""color:green;'>✅ A. Contener un núcleo definido rodeado de una membrana nuclear.</b><br><br><i>Apareci&oacute; 2 veces en: 2024</i>"	Fermepin2024 SoloRepetidas Repetida
<b>El proceso responsable de la digestión final de componentes internos envejecidos de la célula se denomina:</b><br><br>A. Apoptosis.<br>B. Pinocitosis.<br>C. Fagocitosis.<br>D. Autofagia.<br>	"<b style=""color:green;'>✅ D. Autofagia.</b><br><br><i>Apareci&oacute; 2 veces en: 2024</i>"	Fermepin2024 SoloRepetidas Repetida
<b>Tanto el ADN como el ARN:</b><br><br>A. Son bicatenarios.<br>B. Están formados por nucleótidos unidos por enlaces de tipo amida.<br>C. Presentan las mismas bases purínicas.<br>D. Presentan un extremo 5’ con un fosfato y un extremo 3’ con un COOH.<br>	"<b style=""color:green;'>✅ C. Presentan las mismas bases purínicas.</b><br><br><i>Apareci&oacute; 2 veces en: 2024, 2025</i>"	Fermepin2024 Fermepin2025 SoloRepetidas Repetida
<b>Los microtúbulos en las células tienen la función de:</b><br><br>A. Participar en el transporte intracelular de vesículas.<br>B. Almacenar sustancias químicas.<br>C. Mediar la contracción muscular.<br>D. Formar las microvellosidades.<br>	"<b style=""color:green;'>✅ A. Participar en el transporte intracelular de vesículas.</b><br><br><i>Apareci&oacute; 2 veces en: 2024, 2025</i>"	Fermepin2024 Fermepin2025 SoloRepetidas Repetida
<b>Es característica de todo ser vivo:</b><br><br>A. Presentar la capacidad de responder a señales internas o externas.<br>B. La necesidad de obtener nutrientes de otros organismos.<br>C. Ser un organismo procariota.<br>D. Ser un organismo unicelular.<br>	"<b style=""color:green;'>✅ A. Presentar la capacidad de responder a señales internas o externas.</b><br><br><i>Apareci&oacute; 2 veces en: 2025</i>"	Fermepin2025 SoloRepetidas Repetida
<b>En relación a los endosomas, se puede afirmar que:</b><br><br>A. Se encargan de la degradación del material endocitado.<br>B. Poseen receptores de Manosa-6-fosfato en su membrana.<br>C. Contienen catalasa en su interior.<br>D. Son responsables de la O-glicosilación de proteínas.<br>	"<b style=""color:green;'>✅ B. Poseen receptores de Manosa-6-fosfato en su membrana.</b><br><br><i>Apareci&oacute; 2 veces en: 2025</i>"	Fermepin2025 SoloRepetidas Repetida
<b>El ATP es un nucleótido trifosfatado que:</b><br><br>A. Posee guanina en su estructura.<br>B. Tiene por función ser la fuente de energía de la célula.<br>C. Almacena la información genética de la célula.<br>D. Presenta enlaces de baja energía entre sus grupos fosfato.<br>	"<b style=""color:green;'>✅ B. Tiene por función ser la fuente de energía de la célula.</b><br><br><i>Apareci&oacute; 2 veces en: 2025</i>"	Fermepin2025 SoloRepetidas Repetida
<b>Se afirma que el endosoma secundario:</b><br><br>A. Se encuentra cerca de la membrana plasmática.<br>B. Es la organela donde se encuentran el material a digerir y las enzimas hidrolíticas.<br>C. Tiene como unidad funcional al dictiosoma.<br>D. Es responsable de la β-oxidación de ácidos grasos.<br>	"<b style=""color:green;'>✅ B. Es la organela donde se encuentran el material a digerir y las enzimas hidrolíticas.</b><br><br><i>Apareci&oacute; 2 veces en: 2025</i>"	Fermepin2025 SoloRepetidas Repetida
<b>Respecto de los niveles de organización de la materia viva:</b><br><br>A. Los espermatozoides pertenecen al nivel de sistema.<br>B. El útero pertenece al nivel de órgano.<br>C. Las ubiquitinas pertenecen al nivel de célula.<br>D. El núcleo pertenece al nivel de tejido.<br>	"<b style=""color:green;'>✅ B. El útero pertenece al nivel de órgano.</b><br><br><i>Apareci&oacute; 2 veces en: 2025</i>"	Fermepin2025 SoloRepetidas Repetida
<b>Los cultivos celulares primarios se obtienen a partir de:</b><br><br>A. Un cultivo secundario.<br>B. Células transformadas.<br>C. El aislamiento de organelas específicas.<br>D. Un tejido.<br>	"<b style=""color:green;'>✅ D. Un tejido.</b><br><br><i>Apareci&oacute; 2 veces en: 2025</i>"	Fermepin2025 SoloRepetidas Repetida
<b>Una diferencia entre la célula animal y la vegetal es que:</b><br><br>A. Las células animales tienen una pared celular compuesta principalmente de celulosa.<br>B. Las células animales contienen una vacuola central que almacena agua y nutrientes.<br>C. Las células vegetales tienen cloroplastos, que permiten la fotosíntesis.<br>D. Las células vegetales tienen un núcleo más grande que las células animales.<br>	"<b style=""color:green;'>✅ C. Las células vegetales tienen cloroplastos, que permiten la fotosíntesis.</b><br><br><i>Apareci&oacute; 2 veces en: 2025</i>"	Fermepin2025 SoloRepetidas Repetida
<b>El orden de complejidad DECRECIENTE de organización de la materia es:</b><br><br>A. Ecosistema - cardumen - agua - pez - cadmio.<br>B. Comunidad - pulmón - ovocito - ozono - níquel.<br>C. Población - cebra - corazón - xenón - glucosa.<br>D. Biósfera - perro - cerebro - dióxido de carbono - sangre.<br>	"<b style=""color:green;'>✅ B. Comunidad - pulmón - ovocito - ozono - níquel.</b><br><br><i>Apareci&oacute; 2 veces en: 2025</i>"	Fermepin2025 SoloRepetidas Repetida
<b>Los plasmodesmos se caracterizan por:</b><br><br>A. Ser uniones comunicantes en células animales.<br>B. Estar formados por un complejo de claudinas y ocludinas que sellan el espacio intercelular.<br>C. Poseer cadherinas y placas de anclaje asociadas a filamentos intermedios.<br>D. Ser canales que atraviesan la pared celular.<br>	"<b style=""color:green;'>✅ D. Ser canales que atraviesan la pared celular.</b><br><br><i>Apareci&oacute; 2 veces en: 2025</i>"	Fermepin2025 SoloRepetidas Repetida
<b>El movimiento de vesículas a través de los microfilamentos de actina se produce cuando:</b><br><br>A. El extremo fibrilar de la miosina I se une a la actina.<br>B. La cabeza globular de la miosina I interacciona con la actina y la cola fibrilar interactúa con el segmento a transportar.<br>C. Los haces de filamentos de actina se unen a la vesícula a transportar.<br>D. Las nexinas se unen a la actina de los microfilamentos.<br>	"<b style=""color:green;'>✅ B. La cabeza globular de la miosina I interacciona con la actina y la cola fibrilar interactúa con el segmento a transportar.</b><br><br><i>Apareci&oacute; 2 veces en: 2025</i>"	Fermepin2025 SoloRepetidas Repetida
