Front	Back	Tags
<b>Las macromoléculas en el citosol de una célula eucariota animal forman estructuras visibles en el microscopio, como:</b><br><br>A. Gránulos de almidón.<br>B. Depósitos de calcio.<br>C. Complejos de proteasas.<br>D. Gotas de grasa.<br>	"<b style=""color:green;'>✅ D. Gotas de grasa.</b><br><br><i>Apariciones: 2 veces (2023, 2024)</i>"	Fermepin2023 Fermepin2024 Repetida
<b>Durante su recorrido, una proteína de exportación atraviesa:</b><br><br>A. El REL, los ribosomas, y finalmente, el Complejo de Golgi.<br>B. El REL, el RER y, por último, el Complejo de Golgi.<br>C. Los ribosomas, el Complejo de Golgi y, por último, el RER.<br>D. Los ribosomas, el RER y, finalmente, el Complejo de Golgi.<br>	"<b style=""color:green;'>✅ D. Los ribosomas, el RER y, finalmente, el Complejo de Golgi.</b><br><br><i>Apariciones: 2 veces (2023, 2024)</i>"	Fermepin2023 Fermepin2024 Repetida
<b>Con relación a la endocitosis, se afirma que:</b><br><br>A. Cuando es mediada por receptores, los mismos se encuentran en la cara externa de la membrana plasmática.<br>B. Se llama fagocitosis cuando ingresan solutos disueltos.<br>C. Puede ser constitutiva o regulada.<br>D. Es la expulsión de una vesícula al espacio extracelular.<br>	"<b style=""color:green;'>✅ A. Cuando es mediada por receptores, los mismos se encuentran en la cara externa de la membrana plasmática.</b><br><br><i>Apariciones: 2 veces (2023, 2024)</i>"	Fermepin2023 Fermepin2024 Repetida
<b>La membrana plasmática de las células vegetales:</b><br><br>A. Está compuesta principalmente por hidratos de carbono.<br>B. Posee proteínas integrales.<br>C. Contiene colesterol.<br>D. Es una monocapa fosfolipídica.<br>	"<b style=""color:green;'>✅ B. Posee proteínas integrales.</b><br><br><i>Apariciones: 2 veces (2023, 2024)</i>"	Fermepin2023 Fermepin2024 Repetida
<b>Para visualizar la estructura interna de una célula de un tejido en un microscopio, la técnica más adecuada es la:</b><br><br>A. Utilización de un microscopio de fuerza atómica (AFM).<br>B. Observación en un microscopio de luz de campo oscuro.<br>C. Tinción con colorantes vitales.<br>D. Preparación de cortes histológicos teñidos.<br>	"<b style=""color:green;'>✅ D. Preparación de cortes histológicos teñidos.</b><br><br><i>Apariciones: 2 veces (2023, 2024)</i>"	Fermepin2023 Fermepin2024 Repetida
<b>Si una célula carece de ATP, en primer lugar se verá afectado:</b><br><br>A. El transporte a través de la bomba de sodio-potasio.<br>B. El ingreso de $\text{CO}_{2}$ a la célula.<br>C. El funcionamiento de los canales iónicos de potasio.<br>D. El transporte de esteroides a través de la membrana.<br>	"<b style=""color:green;'>✅ A. El transporte a través de la bomba de sodio-potasio.</b><br><br><i>Apariciones: 2 veces (2023, 2024)</i>"	Fermepin2023 Fermepin2024 Repetida
<b>La cara interna de la membrana plasmática:</b><br><br>A. Es idéntica a la cara externa en su composición.<br>B. Posee fosfatidilserina y fosfatidiletanolamina.<br>C. Está formada por fosfatidilcolina y esfingomielina.<br>D. Presenta colesterol, el cual no se halla presente en la cara externa.<br>	"<b style=""color:green;'>✅ B. Posee fosfatidilserina y fosfatidiletanolamina.</b><br><br><i>Apariciones: 2 veces (2024)</i>"	Fermepin2024 Repetida
<b>Respecto a la estructura de la molécula de agua, podemos afirmar que:</b><br><br>A. Forma un tripolo.<br>B. Tiene carácter polar.<br>C. Se une a otras moléculas mediante puentes salinos.<br>D. Debido a sus uniones covalentes, no puede disociarse.<br>	"<b style=""color:green;'>✅ B. Tiene carácter polar.</b><br><br><i>Apariciones: 2 veces (2024)</i>"	Fermepin2024 Repetida
<b>Con respecto al colesterol, es correcto decir que se trata de:</b><br><br>A. Un lípido insaponificable.<br>B. Una molécula que presenta una cabeza y una cola apolares.<br>C. Una molécula que aumenta la fluidez de las membranas.<br>D. Un componente de la cara externa de la membrana plasmática de células vegetales.<br>	"<b style=""color:green;'>✅ A. Un lípido insaponificable.</b><br><br><i>Apariciones: 2 veces (2024)</i>"	Fermepin2024 Repetida
<b>Los enlaces glicosídicos se dan entre:</b><br><br>A. Dos moléculas, una glucosa y una proteína.<br>B. Dos monosacáridos.<br>C. Dos lípidos y un azúcar.<br>D. Dos lípidos.<br>	"<b style=""color:green;'>✅ B. Dos monosacáridos.</b><br><br><i>Apariciones: 2 veces (2024)</i>"	Fermepin2024 Repetida
<b>Con respecto al ARN, puede afirmarse que:</b><br><br>A. Está formado por los mismos nucleótidos que el ADN.<br>B. Posee nucleótidos unidos por enlace de tipo fosfodiéster.<br>C. Presenta un extremo 3’ con un fosfato y un extremo 5’ con un OH.<br>D. Al igual que el ADN, es bicatenario.<br>	"<b style=""color:green;'>✅ B. Posee nucleótidos unidos por enlace de tipo fosfodiéster.</b><br><br><i>Apariciones: 2 veces (2024, 2025)</i>"	Fermepin2024 Fermepin2025 Repetida
<b>Las uniones peptídicas se producen entre el grupo:</b><br><br>A. COOH de un aminoácido y el COOH del aminoácido siguiente.<br>B. COOH de un aminoácido y el $NH_{2}$ del aminoácido siguiente.<br>C. COOH de un aminoácido y el residuo lateral del siguiente.<br>D. $$NH_{2}$ de un aminoácido y el $PO_{4}^{3-}$ del aminoácido siguiente.<br>	"<b style=""color:green;'>✅ B. COOH de un aminoácido y el $NH_{2}$ del aminoácido siguiente.</b><br><br><i>Apariciones: 2 veces (2024)</i>"	Fermepin2024 Repetida
<b>Las células eucariotas se caracterizan por:</b><br><br>A. Contener un núcleo definido rodeado de una membrana nuclear.<br>B. Carecer de un sistema de endomembranas.<br>C. Presentar su material genético disperso en el citoplasma.<br>D. Tener una pared celular constituida principalmente por celulosa.<br>	"<b style=""color:green;'>✅ A. Contener un núcleo definido rodeado de una membrana nuclear.</b><br><br><i>Apariciones: 2 veces (2024)</i>"	Fermepin2024 Repetida
<b>El proceso responsable de la digestión final de componentes internos envejecidos de la célula se denomina:</b><br><br>A. Apoptosis.<br>B. Pinocitosis.<br>C. Fagocitosis.<br>D. Autofagia.<br>	"<b style=""color:green;'>✅ D. Autofagia.</b><br><br><i>Apariciones: 2 veces (2024)</i>"	Fermepin2024 Repetida
<b>Tanto el ADN como el ARN:</b><br><br>A. Son bicatenarios.<br>B. Están formados por nucleótidos unidos por enlaces de tipo amida.<br>C. Presentan las mismas bases purínicas.<br>D. Presentan un extremo 5’ con un fosfato y un extremo 3’ con un COOH.<br>	"<b style=""color:green;'>✅ C. Presentan las mismas bases purínicas.</b><br><br><i>Apariciones: 2 veces (2024, 2025)</i>"	Fermepin2024 Fermepin2025 Repetida
<b>Los microtúbulos en las células tienen la función de:</b><br><br>A. Participar en el transporte intracelular de vesículas.<br>B. Almacenar sustancias químicas.<br>C. Mediar la contracción muscular.<br>D. Formar las microvellosidades.<br>	"<b style=""color:green;'>✅ A. Participar en el transporte intracelular de vesículas.</b><br><br><i>Apariciones: 2 veces (2024, 2025)</i>"	Fermepin2024 Fermepin2025 Repetida
<b>Es característica de todo ser vivo:</b><br><br>A. Presentar la capacidad de responder a señales internas o externas.<br>B. La necesidad de obtener nutrientes de otros organismos.<br>C. Ser un organismo procariota.<br>D. Ser un organismo unicelular.<br>	"<b style=""color:green;'>✅ A. Presentar la capacidad de responder a señales internas o externas.</b><br><br><i>Apariciones: 2 veces (2025)</i>"	Fermepin2025 Repetida
<b>En relación a los endosomas, se puede afirmar que:</b><br><br>A. Se encargan de la degradación del material endocitado.<br>B. Poseen receptores de Manosa-6-fosfato en su membrana.<br>C. Contienen catalasa en su interior.<br>D. Son responsables de la O-glicosilación de proteínas.<br>	"<b style=""color:green;'>✅ B. Poseen receptores de Manosa-6-fosfato en su membrana.</b><br><br><i>Apariciones: 2 veces (2025)</i>"	Fermepin2025 Repetida
<b>El ATP es un nucleótido trifosfatado que:</b><br><br>A. Posee guanina en su estructura.<br>B. Tiene por función ser la fuente de energía de la célula.<br>C. Almacena la información genética de la célula.<br>D. Presenta enlaces de baja energía entre sus grupos fosfato.<br>	"<b style=""color:green;'>✅ B. Tiene por función ser la fuente de energía de la célula.</b><br><br><i>Apariciones: 2 veces (2025)</i>"	Fermepin2025 Repetida
<b>Se afirma que el endosoma secundario:</b><br><br>A. Se encuentra cerca de la membrana plasmática.<br>B. Es la organela donde se encuentran el material a digerir y las enzimas hidrolíticas.<br>C. Tiene como unidad funcional al dictiosoma.<br>D. Es responsable de la β-oxidación de ácidos grasos.<br>	"<b style=""color:green;'>✅ B. Es la organela donde se encuentran el material a digerir y las enzimas hidrolíticas.</b><br><br><i>Apariciones: 2 veces (2025)</i>"	Fermepin2025 Repetida
<b>Respecto de los niveles de organización de la materia viva:</b><br><br>A. Los espermatozoides pertenecen al nivel de sistema.<br>B. El útero pertenece al nivel de órgano.<br>C. Las ubiquitinas pertenecen al nivel de célula.<br>D. El núcleo pertenece al nivel de tejido.<br>	"<b style=""color:green;'>✅ B. El útero pertenece al nivel de órgano.</b><br><br><i>Apariciones: 2 veces (2025)</i>"	Fermepin2025 Repetida
<b>Los cultivos celulares primarios se obtienen a partir de:</b><br><br>A. Un cultivo secundario.<br>B. Células transformadas.<br>C. El aislamiento de organelas específicas.<br>D. Un tejido.<br>	"<b style=""color:green;'>✅ D. Un tejido.</b><br><br><i>Apariciones: 2 veces (2025)</i>"	Fermepin2025 Repetida
<b>Una diferencia entre la célula animal y la vegetal es que:</b><br><br>A. Las células animales tienen una pared celular compuesta principalmente de celulosa.<br>B. Las células animales contienen una vacuola central que almacena agua y nutrientes.<br>C. Las células vegetales tienen cloroplastos, que permiten la fotosíntesis.<br>D. Las células vegetales tienen un núcleo más grande que las células animales.<br>	"<b style=""color:green;'>✅ C. Las células vegetales tienen cloroplastos, que permiten la fotosíntesis.</b><br><br><i>Apariciones: 2 veces (2025)</i>"	Fermepin2025 Repetida
<b>El orden de complejidad DECRECIENTE de organización de la materia es:</b><br><br>A. Ecosistema - cardumen - agua - pez - cadmio.<br>B. Comunidad - pulmón - ovocito - ozono - níquel.<br>C. Población - cebra - corazón - xenón - glucosa.<br>D. Biósfera - perro - cerebro - dióxido de carbono - sangre.<br>	"<b style=""color:green;'>✅ B. Comunidad - pulmón - ovocito - ozono - níquel.</b><br><br><i>Apariciones: 2 veces (2025)</i>"	Fermepin2025 Repetida
<b>Los plasmodesmos se caracterizan por:</b><br><br>A. Ser uniones comunicantes en células animales.<br>B. Estar formados por un complejo de claudinas y ocludinas que sellan el espacio intercelular.<br>C. Poseer cadherinas y placas de anclaje asociadas a filamentos intermedios.<br>D. Ser canales que atraviesan la pared celular.<br>	"<b style=""color:green;'>✅ D. Ser canales que atraviesan la pared celular.</b><br><br><i>Apariciones: 2 veces (2025)</i>"	Fermepin2025 Repetida
<b>El movimiento de vesículas a través de los microfilamentos de actina se produce cuando:</b><br><br>A. El extremo fibrilar de la miosina I se une a la actina.<br>B. La cabeza globular de la miosina I interacciona con la actina y la cola fibrilar interactúa con el segmento a transportar.<br>C. Los haces de filamentos de actina se unen a la vesícula a transportar.<br>D. Las nexinas se unen a la actina de los microfilamentos.<br>	"<b style=""color:green;'>✅ B. La cabeza globular de la miosina I interacciona con la actina y la cola fibrilar interactúa con el segmento a transportar.</b><br><br><i>Apariciones: 2 veces (2025)</i>"	Fermepin2025 Repetida
<b>El cromosoma de las células procariotas se ubica en:</b><br><br>A. El núcleo.<br>B. El retículo endoplasmático rugoso.<br>C. El nucleoide.<br>D. La mitocondria.<br>	"<b style=""color:green;'>✅ C. El nucleoide.</b><br><br><i>Apariciones: 1 veces (2023)</i>"	Fermepin2023 Unica
<b>La imposibilidad de un protón para cruzar libremente la membrana se debe a que:</b><br><br>A. Tiene gran liposolubilidad.<br>B. Atrae agua y la nube acuosa es grande.<br>C. Es una molécula polar.<br>D. Es una molécula cargada.<br>	"<b style=""color:green;'>✅ B. Atrae agua y la nube acuosa es grande.</b><br><br><i>Apariciones: 1 veces (2023)</i>"	Fermepin2023 Unica
<b>En relación a los microfilamentos, se afirma que:</b><br><br>A. Se forman a partir de dos tubulinas.<br>B. Se clasifican en corticales y transcelulares.<br>C. Para su polimerización requieren de GTP.<br>D. Se asocian a dineína y quinesina en el transporte de macromoléculas o vesículas.<br>	"<b style=""color:green;'>✅ B. Se clasifican en corticales y transcelulares.</b><br><br><i>Apariciones: 1 veces (2023)</i>"	Fermepin2023 Unica
<b>En las bacterias, la membrana celular:</b><br><br>A. Es una monocapa fosfolipídica.<br>B. Está compuesta principalmente por hidratos de carbono.<br>C. Posee proteínas integrales.<br>D. Contiene colesterol.<br>	"<b style=""color:green;'>✅ C. Posee proteínas integrales.</b><br><br><i>Apariciones: 1 veces (2023)</i>"	Fermepin2023 Unica
<b>Se afirma que los hidratos de carbono de la membrana:</b><br><br>A. Se localizan sobre la cara externa de la membrana.<br>B. Se asocian con el colesterol de membrana.<br>C. Se localizan sobre ambas caras de la membrana plasmática.<br>D. Se asocian con ceramidas para formar gangliósidos.<br>	"<b style=""color:green;'>✅ A. Se localizan sobre la cara externa de la membrana.</b><br><br><i>Apariciones: 1 veces (2023)</i>"	Fermepin2023 Unica
<b>El recorrido de proteínas de exportación implica su paso por:</b><br><br>A. Los ribosomas, el RER y, finalmente, el aparato de Golgi.<br>B. El REL, los ribosomas y, finalmente, el aparato de Golgi.<br>C. Los ribosomas, el aparato de Golgi y, por último, el RER.<br>D. El REL, el RER y, finalmente, el aparato de Golgi.<br>	"<b style=""color:green;'>✅ A. Los ribosomas, el RER y, finalmente, el aparato de Golgi.</b><br><br><i>Apariciones: 1 veces (2023)</i>"	Fermepin2023 Unica
<b>Una característica que comparten las células es:</b><br><br>A. Realizar fotosíntesis con clorofila como proceso principal.<br>B. El uso del ADN como material genético para la herencia.<br>C. Tener un núcleo rodeado por una membrana nuclear.<br>D. Ser capaces de moverse activamente en el medio circundante.<br>	"<b style=""color:green;'>✅ B. El uso del ADN como material genético para la herencia.</b><br><br><i>Apariciones: 1 veces (2023)</i>"	Fermepin2023 Unica
<b>Los tejidos interactúan para formar el nivel de organización:</b><br><br>A. Órgano<br>B. Celular.<br>C. Sistema.<br>D. Organismo.<br>	"<b style=""color:green;'>✅ A. Órgano</b><br><br><i>Apariciones: 1 veces (2023)</i>"	Fermepin2023 Unica
<b>La técnica más adecuada para visualizar en un microscopio la estructura interna de una célula de un tejido incluye:</b><br><br>A. La tinción con colorantes vitales.<br>B. La observación en microscopio de luz de campo oscuro.<br>C. La utilización de un microscopio de fuerza atómica (AFM).<br>D. La preparación de cortes histológicos teñidos.<br>	"<b style=""color:green;'>✅ D. La preparación de cortes histológicos teñidos.</b><br><br><i>Apariciones: 1 veces (2023)</i>"	Fermepin2023 Unica
<b>Respecto a los monómeros de las proteínas, se afirma que:</b><br><br>A. Se encuentran unidos por enlaces fosfodiéster.<br>B. Su molécula posee dos extremos amino terminales ($\text{NH}_{2}$).<br>C. La combinación de los mismos se realiza entre el extremo $\text{NH}_{2}$ de uno de ellos y la cadena lateral del siguiente.<br>D. La unión de éstos establece la estructura 1° de las proteínas.<br>	"<b style=""color:green;'>✅ D. La unión de éstos establece la estructura 1° de las proteínas.</b><br><br><i>Apariciones: 1 veces (2023)</i>"	Fermepin2023 Unica
<b>La función de las chaperonas es contribuir con:</b><br><br>A. La síntesis de ADN.<br>B. El transporte a través de la membrana.<br>C. La protección del ADN.<br>D. El plegamiento de las proteínas.<br>	"<b style=""color:green;'>✅ D. El plegamiento de las proteínas.</b><br><br><i>Apariciones: 1 veces (2023)</i>"	Fermepin2023 Unica
<b>En el citosol de células animales se acumulan macromoléculas formando estructuras detectables en el microscopio óptico como:</b><br><br>A. Gotas de grasa.<br>B. Depósitos de calcio.<br>C. Gránulos de almidón.<br>D. Complejos de proteasas.<br>	"<b style=""color:green;'>✅ A. Gotas de grasa.</b><br><br><i>Apariciones: 1 veces (2023)</i>"	Fermepin2023 Unica
<b>El retículo endoplásmico rugoso se caracteriza por:</b><br><br>A. Sintetizar lípidos.<br>B. Estar muy desarrollado en células con activa síntesis proteica.<br>C. Glicosilar los lípidos de las membranas.<br>D. Estar ausentes en las células vegetales.<br>	"<b style=""color:green;'>✅ B. Estar muy desarrollado en células con activa síntesis proteica.</b><br><br><i>Apariciones: 1 veces (2023)</i>"	Fermepin2023 Unica
<b>Con respecto a la molécula de ADN, se puede afirmar que:</b><br><br>A. Sus dos cadenas están unidas por puentes de hidrógeno.<br>B. Está formada íntegramente por monómeros llamados monosacáridos.<br>C. Se encuentra asociado a la membrana nuclear de células procariotas.<br>D. Puede estar asociada a proteínas, formando los ribosomas.<br>	"<b style=""color:green;'>✅ A. Sus dos cadenas están unidas por puentes de hidrógeno.</b><br><br><i>Apariciones: 1 veces (2023)</i>"	Fermepin2023 Unica
<b>Ante una disminución significativa en la síntesis de ATP, en primer lugar se altera:</b><br><br>A. El movimiento de esteroides a través de la membrana.<br>B. El funcionamiento de los canales iónicos de potasio.<br>C. El pasaje de $\text{CO}_{2}$ al interior de la célula.<br>D. El transporte a través de la bomba de sodio-potasio.<br>	"<b style=""color:green;'>✅ D. El transporte a través de la bomba de sodio-potasio.</b><br><br><i>Apariciones: 1 veces (2023)</i>"	Fermepin2023 Unica
<b>En la estructura ciliar, la función de la dineína es:</b><br><br>A. La asociación entre la estructura ciliar y el cuerpo basal.<br>B. La regulación del crecimiento del cilio.<br>C. Intervenir en el movimiento del cilio.<br>D. El mantenimiento de la estructura ciliar.<br>	"<b style=""color:green;'>✅ C. Intervenir en el movimiento del cilio.</b><br><br><i>Apariciones: 1 veces (2023)</i>"	Fermepin2023 Unica
<b>El almidón y el glucógeno difieren en:</b><br><br>A. Los organismos que los generan.<br>B. Los monosacáridos que los conforman.<br>C. Que uno es un homopolisacárido y otro un heteropolisacárido.<br>D. Sus funciones de almacenamiento de energía.<br>	"<b style=""color:green;'>✅ A. Los organismos que los generan.</b><br><br><i>Apariciones: 1 veces (2023)</i>"	Fermepin2023 Unica
<b>Se afirma que la endocitosis:</b><br><br>A. Puede ser constitutiva o regulada.<br>B. Es la expulsión de una vesícula al espacio extracelular.<br>C. Se llama fagocitosis cuando permite el ingreso de solutos disueltos.<br>D. Es mediada por receptores de la cara externa de la membrana.<br>	"<b style=""color:green;'>✅ D. Es mediada por receptores de la cara externa de la membrana.</b><br><br><i>Apariciones: 1 veces (2023)</i>"	Fermepin2023 Unica
<b>A diferencia de los triglicéridos, la fosfatidilcolina:</b><br><br>A. Almacena energía a largo plazo.<br>B. Es saponificable a pH alcalino, formando sales de ácidos grasos.<br>C. Posee dos ácidos grasos unidos al glicerol.<br>D. Es un lípido anfipático.<br>	"<b style=""color:green;'>✅ C. Posee dos ácidos grasos unidos al glicerol.</b><br><br><i>Apariciones: 1 veces (2023)</i>"	Fermepin2023 Unica
<b>Según la teoría celular moderna:</b><br><br>A. Las organelas son la mínima unidad de vida.<br>B. Los virus son considerados organismos vivos.<br>C. El funcionamiento del organismo es independiente de la interacción entre sus células.<br>D. Toda célula proviene de otra célula.<br>	"<b style=""color:green;'>✅ D. Toda célula proviene de otra célula.</b><br><br><i>Apariciones: 1 veces (2023)</i>"	Fermepin2023 Unica
<b>La capacidad de los seres vivos para responder a un estímulo es la:</b><br><br>A. Irritabilidad.<br>B. Homeostasis.<br>C. Evolución.<br>D. Autopoyesis.<br>	"<b style=""color:green;'>✅ A. Irritabilidad.</b><br><br><i>Apariciones: 1 veces (2024)</i>"	Fermepin2024 Unica
<b>El término anabolismo hace referencia al proceso mediante el cual:</b><br><br>A. Se degradan moléculas complejas a moléculas más simples, consumiéndose energía proveniente del ATP.<br>B. Se degradan moléculas complejas a moléculas más simples, obteniéndose energía en forma de ATP.<br>C. Se sintetizan moléculas complejas a partir de moléculas más simples, consumiéndose energía proveniente del ATP.<br>D. Se sintetizan moléculas complejas a partir de moléculas más simples, obteniéndose energía en forma de ATP.<br>	"<b style=""color:green;'>✅ C. Se sintetizan moléculas complejas a partir de moléculas más simples, consumiéndose energía proveniente del ATP.</b><br><br><i>Apariciones: 1 veces (2024)</i>"	Fermepin2024 Unica
<b>Dentro de las macromoléculas que se acumulan en el citosol de células animales y forman estructurales detectables en el microscopio óptico, se encuentran los:</b><br><br>A. Gránulos de glucógeno.<br>B. Depósitos de calcio.<br>C. Gránulos de almidón.<br>D. Complejos enzimáticos.<br>	"<b style=""color:green;'>✅ A. Gránulos de glucógeno.</b><br><br><i>Apariciones: 1 veces (2024)</i>"	Fermepin2024 Unica
<b>La regulación del equilibrio hidroelectrolítico celular se atribuye:</b><br><br>A. Al líquido intersticial.<br>B. A la permeabilidad de la membrana plasmática.<br>C. A las perforinas.<br>D. Al líquido intracelular.<br>	"<b style=""color:green;'>✅ B. A la permeabilidad de la membrana plasmática.</b><br><br><i>Apariciones: 1 veces (2024)</i>"	Fermepin2024 Unica
<b>Con respecto a los filamentos intermedios, se afirma que:</b><br><br>A. Los laminofilamentos se apoyan sobre ambas caras de la envoltura nuclear formando la lámina nuclear.<br>B. Los filamentos de vimentina están en uñas y pelo.<br>C. Los neurofilamentos convierten al axoplasma en un gel altamente resistente.<br>D. Los tonofilamentos se encuentran en células epiteliales y están formados por desmina.<br>	"<b style=""color:green;'>✅ C. Los neurofilamentos convierten al axoplasma en un gel altamente resistente.</b><br><br><i>Apariciones: 1 veces (2024)</i>"	Fermepin2024 Unica
<b>Una célula con síntesis aumentada de enzimas tendrá muy desarrollado el:</b><br><br>A. Retículo endoplasmático rugoso.<br>B. Peroxisoma.<br>C. Retículo endoplasmático liso.<br>D. Complejo de Golgi.<br>	"<b style=""color:green;'>✅ A. Retículo endoplasmático rugoso.</b><br><br><i>Apariciones: 1 veces (2024)</i>"	Fermepin2024 Unica
<b>El transporte de iones en contra de su gradiente se realiza:</b><br><br>A. Sin gasto de energía por medio de proteínas integrales.<br>B. Mediante un proceso de pinocitosis.<br>C. Con gasto de energía por medio de proteínas.<br>D. A través de acuaporinas.<br>	"<b style=""color:green;'>✅ C. Con gasto de energía por medio de proteínas.</b><br><br><i>Apariciones: 1 veces (2024)</i>"	Fermepin2024 Unica
